INPUT;TEXT;SOLUTION;SUBJECT;EXAM;TASK;TOPIC;CODE;IMAGES;POINTS
2 Oppgave/Oppgave 2 Du skal svara på denne oppgava i Inspera. Du skal ikkje legga ved utrekningar på papir. Kva er determinanten til matrisa A?;Du skal svara på denne oppgava i Inspera. Du skal ikkje legga ved utrekningar på papir. <br>Kva er determinanten til matrisa \\( A \\)? <br>\\[ A = \\begin{bmatrix} 3 & 8 & 0 \\\\ 0 & 0 & 1 \\\\ 1 & 2 & 3 \\end{bmatrix} \\] <br>Finn \\( \\det(A) \\) og rund av svaret til nærmeste heiltal.;0;Matematikk;H24;2;Determinant og matriser;null;null;12
5 Oppgave/Oppgave 5 Du skal svara på denne oppgava i Inspera. Du skal ikkje leggja ved utrekningar på papir. Kva for ein av dei følgande er ein basis for \\( \\mathbb{R}^2 \\)? Vel eitt alternativ.;Du skal svara på denne oppgava i Inspera. Du skal ikkje leggja ved utrekningar på papir. <br>Kva for ein av dei følgande er ein basis for \\( \\mathbb{R}^2 \\)? Vel eitt alternativ. <br>\\( \\{(1,0,0), (-1,1,1)\\} \\) <br>\\( \\{(1,1,0), (0,0,2), (1,1,2), (1,1,1)\\} \\) <br>\\( \\{(1,1,0), (0,0,2), (1,1,2)\\} \\) <br>\\( \\{(1,1,0), (0,1,0), (1,0,0)\\} \\) <br>\\( \\{(1,0,0), (1,1,0), (1,1,1)\\} \\) <br>\\( \\{(1,0,0), (0,1,0), (0,0,1), (1,0,1)\\} \\) <br>\\( \\{(1,0,0), (1,1,2)\\} \\) <br>Merk at i denne oppgava bruker vi notasjonen \\( x (x,y,z) = |y] - z \\).;0;Matematikk;H24;5;Lineær algebra - Basis og vektorar;null;null;4
4 Lister og indekser Gitt felgende programkode: temperatures = [15.5, 17.2, 16.8, 14.9, 18.3, 19.0, 16.5] def f1(temps): return sum(temps) / len(temps) def f2(temps): return sum(temps[:3]) / len(temps[:3]) def ?3(temps): return sum(temps[-4:]) / Len(temps[-4:]) def f4(temps): return max(temps) def #5 (temps): return temps[::-1] def f6(temps result = [] for temp in temps: if temp > 17: result .append (temp) return result Hver rad nedenfor har et kall til funksjonene oventfor. Skriv i tekstfeltet hva svaret bli. Flyttall avrundes til en desimal Drint('(1 temperatures). 11) sve ut (7 print(?'{f2(temperatures):. 19"""") skriver fo print? (?3temperaturesy. 11"""") sve ut | print'{4(temperatures). 1"""") skriver ut print ?'4f5(temperatures))?)skrver ut (7 print(?{f6(temperatures)))skrver ut (7 Maks poeng: 6;Hver rad nedenfor har et kall til funksjonene ovenfor. Skriv i textfeltet hva svaret blir. Flyttall avrundes til én desimal:<br>print(f\""f1(temperatures):.1f\"") skriver ut: \( \boxed{\phantom{0}} \)<br>print(f\""f2(temperatures):.1f\"") skriver ut: \( \boxed{\phantom{0}} \)<br>print(f\""f3(temperatures):.1f\"") skriver ut: \( \boxed{\phantom{0}} \)<br>print(f\""f4(temperatures):.1f\"") skriver ut: \( \boxed{\phantom{0}} \)<br>print(f\""f5(temperatures)\"") skriver ut: \( \boxed{\phantom{0}} \)<br>print(f\""f6(temperatures)\"") skriver ut: \( \boxed{\phantom{0}} \);null;INGT1002;H24;4;Lister og indekser;temperatures = [15.5, 17.2, 16.8, 14.9, 18.3, 19.0, 16.5]\ndef f1(temps):\n    return sum(temps) / len(temps)\ndef f2(temps):\n    return sum(temps[:3]) / len(temps[:3])\ndef f3(temps):\n    return sum(temps[-4:]) / len(temps[-4:])\ndef f4(temps):\n    return max(temps)\ndef f5(temps):\n    return temps[::-1]\ndef f6(temps):\n    result = []\n    for temp in temps:\n        if temp > 17:\n            result.append(temp)\n    return result;null;6
7 Numerisk derivasjon Vi maler folgende verdier for hayden tilen drone: = [158, 155, 158, 163, 170, 178, 185, 189, 188, 183] M lingene er gjot ved falgende tidspunkt: t= [0.2,0.4,0.6,0.8, 1.0, 1.2, 1.4, 1.6,1.8, 2.0] Viser bort fra enhetene tilh 09  . Vi antar at dronen kun beveger seg i hayderetningen. Hva gir forroverdifferanse som en tiinzerming til den tidsderiverte av hayden? Vforover(1.0) =: va air bakoverdifferanse? oatovee(1.0) = Hva gir sentraldifferanse? ata (.0) =| Maks poeng: 6;Vi måler følgende verdier for høyden til en drone:<br>\[ h = [153, 155, 158, 163, 170, 178, 185, 189, 188, 183] \]<br>Målingene er gjort ved følgende tidspunkt:<br>\[ t = [0.2, 0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0] \]<br>Vi ser bort fra enhetene til \( h \) og \( t \).<br>Vi antar at dronen kun beveger seg i høyderetningen. Hva gir foroverdifferanse som en tilnærming til den tidsderiverte av høyden?<br>\( v_{\text{forover}}(1.0) = \boxed{\phantom{0}} \)<br>Hva gir bakoverdifferanse?<br>\( v_{\text{bakover}}(1.0) = \boxed{\phantom{0}} \)<br>Hva gir sentraldifferanse?<br>\( v_{\text{sentral}}(1.0) = \boxed{\phantom{0}} \);null;INGT1002;H24;7;Numerisk derivasjon;null;null;6
1(d)_Figuren viser et fagverk ABCDE. Fagverket er festet til en vegg via et fastlager i punkt A og et glidelager i punkt E. En punktlast pa 30 KN virker i punkt C som angitt pa figuren. A B 30 kN 3m 4m 4m d) Finn storste strekkraft og storste trykkkraft i fagverket ved  bruke knutepunktsmetoden. Angi svaret i (positivt) heltall antall KN. Merk at vi kun er ute etter tallverdier. Maks. strekkraft = (50) kN Maks. trykkkraft = (80) kN Merk at handberegningene du gjor for 4 lose denne oppgaven ma leveres inn. Maks poeng: 6;Figuren viser et fagverk ABCDE. Fagverket er festet til en vegg via et fastlager i punkt A og et glidelager i punkt E. En punktlast på 30 kN virker i punkt C som angitt på figuren.<br>Finn største strekkraft og største trykkkraft i fagverket ved å bruke knutepunktsmetoden.<br>Angi svaret i (positivt) heltall antall kN. Merk at vi kun er ute etter tallverdier.<br>\( \text{Maks. strekkraft} = \boxed{\phantom{0}} \text{ kN} \)<br>\( \text{Maks. trykkkraft} = \boxed{\phantom{0}} \text{ kN} \);null;MEKT1101;H24;1d;Fagverk;null;["MEKT1101H24\MEKT1101H24_extracted_4"];6
5{a) a) Velg riktig skisse av deformasjonsmonsteret (elastiske linjen). od) ied Alternativ 5 v Velg ett alternativ: Alternativ 4 Alternativ 6 Alternativ 1 Alternativ 3 Alternativ 2;Velg riktig skisse av deformasjonsmønsteret (elastiske linjen).<br>\nVelg ett alternativ:<br>\n\( \text{Alternativ 1} \)<br>\n\( \text{Alternativ 2} \)<br>\n\( \text{Alternativ 3} \)<br>\n\( \text{Alternativ 4} \)<br>\n\( \text{Alternativ 5} \)<br>\n\( \text{Alternativ 6} \);null;MEKT1101;H24;5a;Deformasjonsmønster - Elastiske linjer;null;["MEKT1101H24\MEKT1101H24_extracted_18"];6
9 Newtons metode Bruk to iterasjoner av Newtons metode til å løse ligningen sin ( x ) + x = 2.0 Det kan være nyttig at rac{1}{2} ( sin ( x ) ) = cos ( x ) . Bruk startgjetning x0 = 0.5 Ett steg av Newtons metode gir: To steg av Newtons metode gir: Maks poeng: 6;Bruk to iterasjoner av Newtons metode til å løse ligningen \( \sin(x) + x = 2.0 \). <br> Det kan være nyttig at \( \frac{1}{2} (\sin(x)) = \cos(x) \). <br> Bruk startgjetning \( x_0 = 0.5 \). <br> Ett steg av Newtons metode gir: \( \boxed{\phantom{0}} \). <br> To steg av Newtons metode gir: \( \boxed{\phantom{0}} \).;null;Matematikk;H24;9;Numerisk analyse;null;null;6
10 Differensialligning En sten faller med hastigheten v ( t ) , der v ( t ) følger differensialligningen: = 9 - kv² = Vi ser bort fra enheter og går ut fra g = 9.81 og k 0.15. Ved t = 0.0 er hastigheten 3.0 det vil si v ( 0.0 ) = 3.0. I numerikkurset har dere lært en metode for å løse differensialligninger numerisk. Denne metoden står på formelarket. Bruk ett eller flere steg i denne metoden til å beregne en tilnærming for hastigheten ett tidels sekund senere. Det vi si, finn en tilnærming til v ( 0.1 ) . v ( 0.1 ) ≈ Maks poeng: 5;En sten faller med hastigheten \( v(t) \), der \( v(t) \) følger differensialligningen: \[ \frac{dv}{dt} = 9 - kv^2 \]. <br> Vi ser bort fra enheter og antar \( g = 9.81 \) og \( k = 0.15 \). <br> Ved \( t = 0.0 \) er hastigheten \( v(0.0) = 3.0 \). <br> I numerikkurset har dere lært en metode for å løse differensialligninger numerisk. Denne metoden står på formelarket. <br> Bruk ett eller flere steg i denne metoden til å beregne en tilnærming for hastigheten ett tidels sekund senere. <br> Det vil si, finn en tilnærming til \( v(0.1) \). <br> \( v(0.1) \approx \boxed{\phantom{0}} \).;null;Matematikk;H24;10;Numerisk løsning av differensialligninger;null;null;5
15 Eulers metode Fullfør koden nedenfor slik at den bruker Eulers metode til å løse differensialligningen y = y = x² + 1 med initialverdien y ( 0 ) = 0.5 og skrittlengde h = 0.5 for x fra 0 til 1. import numpy as np. def f ( x, y ) : Velg alternativ ( return y' + x * * 2 - 1, return y - x * 2 + 1, return y - * * * 2 + 1, y - x * * 2 + 1 ) h = 0.5 X = Velg alternativ ( np.arange ( 0, 1 + h, h ) , np.arange ( h, 1 + h, h ) , arange ( 0, 1 + h, h ) , np.arange ( 0, 1, h ) ) y = np.zeros ( len ( x ) ) y[0] = 0.5 for i in range ( 1, len ( x ) ) : y[i] = Velg alternativ ( h * f ( x[i - 1], y[i - 1] ) - y[i - 1], y[i + 1] + h * f ( x[i - 1], y[i + 1] ) , y[i - 1] + f ( x[i - 1], y[i - 1] ) / h, y[i - 1] + h * f ( x[i - 1], y[i - 1] ) ) Maks poeng: 7;Fullfør koden nedenfor slik at den bruker Eulers metode til å løse differensialligningen \( \frac{dy}{dx} = x^2 + 1 \) med initialverdien \( y(0) = 0.5 \) og skrittlengde \( h = 0.5 \) for \( x \) fra 0 til 1. Koden ser slik ut: \( \text{import numpy as np. def f(x, y): return x**2 + 1. h = 0.5. x = np.arange(0, 1 + h, h). y = np.zeros(len(x)). y[0] = 0.5. for i in range(1, len(x)): y[i] = y[i - 1] + h * f(x[i - 1], y[i - 1]).} \);null;Matematikk;H24;15;Numerisk løsning med Eulers metode;null;null;7
2 Funksjoner Denne koden definerer en funksjon is_{prime} ( n ) som sjekker om et gitt tall n er et primtall. Test av funksjonen gir disse resultatene: is_{prime} ( 10 ) # returnerer False is_{prime} ( 11 ) # returnerer True is_{prime} ( 1 ) # returnerer False is_{prime} ( 13 ) # returnerer True Lag funksjonen is_{prime} ved å plassere kodefragment i rett rekkefølge. Noen av fragmentene skal IKKE brukes. Pass på å plassere draområdene slik at de "snapper" til ønsket rute. Se bort fra innrykk;Denne koden definerer en funksjon \( \text{is\_{prime}}(n) \) som sjekker om et gitt tall \( n \) er et primtall. Test av funksjonen gir disse resultatene:\[ \text{is\_{prime}}(10) \Rightarrow \text{False} \];\[ \text{is\_{prime}}(11) \Rightarrow \text{True} \];\[ \text{is\_{prime}}(1) \Rightarrow \text{False} \];\[ \text{is\_{prime}}(13) \Rightarrow \text{True} \];Lag funksjonen \( \text{is\_{prime}} \) ved å plassere kodefragmenter i rett rekkefølge. Noen av fragmentene skal ikke brukes. Pass på å plassere draområdene slik at de "snapper" til ønsket rute.;null;MEKT1101;H24;2
