Emnekode	Emnenavn	Sted
TBA4256	3D Digital modellering	Trondheim
MAST2009	3D datamodellering og simulering	Trondheim
TPG4162	3D visualisering av petroleumsdata	Trondheim
AAR4619	3Houses	Trondheim
AAR4609	3Houses Theory Part	Trondheim
AAR4904	AAR4904 Tektonikk og ombruk	Trondheim
TPD4187	AD i transisjon	Trondheim
IDS4007	AI og Kunnskapsledelse	Gjøvik
KLMED8016	ANOVA modeller(Kun eksamen, undervises ikke)	Trondheim
KLMED8021	ANOVA og regresjonsanalyse	Trondheim
TTK4215	Adaptiv regulering	Trondheim
MM8410	Additiv tilvirkning med avanserte legeringer	Trondheim
FIN3502	Adferdsfinans	Trondheim
SØK2012	Adferdsøkonomi	Trondheim
IDATA2502	Administrasjon av skytjenester	Ålesund
BK3105	Advanced Artistic Work 1	Trondheim
BK3205	Advanced Artistic Work 2	Trondheim
BK3306	Advanced Artistic Work 3	Trondheim
BK3400	Advanced Artistic Work 4 - Master Thesis	Trondheim
BA8623	Advanced Building Information Modelling (BIM)	Trondheim
IMT4884	Advanced Colour Management	Gjøvik
AE512317	Advanced Microeconomics(Kun eksamen, undervises ikke)	Ålesund
IMT4894	Advanced Project Work	Gjøvik
IMT4889	Advanced Topics in Software and Systems Engineering	Gjøvik
DT8125	Advanced Topics in Web Security	Trondheim
TEP4160	Aerodynamikk	Trondheim
IØ8814	Agentbasert modellering i grenseflata mellom økonomi og psykologi	Trondheim
DID3003	Akademisk forskning og formidling 1	Trondheim
DID3004	Akademisk forskning og formidling 2	Trondheim
DID3002	Akademisk skriving og lesing	Trondheim
MUSP4136	Akkompagnering A	Trondheim
MUSP4146	Akkompagnering B	Trondheim
TTM4105	Aksess- og transportnett	Trondheim
PED8016	Aksjonsforskning: samskapt kunnskap som endrer liv og samfunn	Trondheim
ETG1102	Aktivitetsanalyse	Gjøvik
ETT1102	Aktivitetsanalyse	Trondheim
ETG1103	Aktivitetsvitenskap	Gjøvik
ETT1103	Aktivitetsvitenskap	Trondheim
FM3002	Aktuell forskning i film og medier 1	Trondheim
FM3003	Aktuell forskning i film og medier 2	Trondheim
IT3020	Aktuelle emner i informatikk	Trondheim
RVI2150	Aktuelle religionsvitenskapelige emner	Trondheim
RVI2151	Aktuelle religionsvitenskapelige emner	Trondheim
SOS8002	Aktuelt emne	Trondheim
LOS8011	Aktuelt emne	Trondheim
PED8030	Aktuelt emne	Trondheim
POL8002	Aktuelt emne	Trondheim
SARB8016	Aktuelt emne	Trondheim
BARN8008	Aktuelt emne i barndomsstudier	Trondheim
TTT4285	Akustikk i bygget miljø	Trondheim
TTT4295	Akustikk signalbehandling	Trondheim
TTT4250	Akustisk måleteknikk	Trondheim
KLH3202	Akutt og postoperativ smerte	Trondheim
PAG2200	Akuttmedisin	Gjøvik
BIA2002	Akvakultur	Ålesund
BI2065	Akvakultur	Trondheim
